"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.136369,0.005918,-0.99064,-0.022412,0.009487,-0.999704,0.057,0.008,-0.09,-0.052,0.014,0.39,0.1,0.04,0,0,0.98,0.15,0,0,0,0.06,0.41,0.49,0,0.37,0.25,0
0.147209,-0.257525,-0.954992,-0.015803,-0.235766,-0.971681,0.068,-0.251,-0.402,-0.017,-0.09,0,0,0,0,0,0.86,0.07,0,0,0,0,1.21,0,0,0,0.13,0
0.051018,0.043233,-0.997762,-0.097944,0.051286,-0.99387,-0.024,0.047,0.034,0.047,-0.011,0,0,0.53,0.03,0,0,0,0,0,0.17,0,0.13,0,0,0,0.05,0
-0.023138,0.047083,-0.998623,-0.127586,-0.011106,-0.991765,-0.076,0.018,-0.218,0.162,0.355,0.36,0,0.41,0.33,2.17,2.72,0,1.66,0.78,0.09,0,0,0,0,3.66,2.76,0
0.034483,0.050204,-0.998143,-0.159537,0.015173,-0.987075,-0.063,0.033,-0.077,0.042,0.003,0.05,0,0.37,0,0,0,0,0,0,0,0.14,0.07,0,0,0.24,0.03,0.43
0.011767,-0.091367,-0.995748,-0.165006,-0.121261,-0.97881,-0.077,-0.107,-0.226,0.022,0.004,0.17,0,0,0,0,0,0,0,0,0,0.19,0,0.52,0,0.36,1.12,0.3
0.075114,-0.096733,-0.992472,-0.139788,-0.124547,-0.982317,-0.033,-0.112,-0.389,0.029,0.009,0.91,0,0.05,0,0,1.11,0.22,0,0,0,0.08,0.35,0.4,0,0,0.55,0.91
0.045784,0.050361,-0.997681,-0.106518,0.033893,-0.993733,-0.03,0.042,-0.027,-0.025,-0.031,0,0,0,0.1,0,0.03,0,0,0,0,0.06,0.6,0,0.19,0.01,0.63,0
0.076197,-0.047507,-0.99596,-0.048232,-0.029923,-0.998388,0.014,-0.039,-0.223,-0.076,0.028,2.2,0,0,0,0.02,0.39,0,0,0.45,0,1.58,0.52,0.64,0,1.27,0.31,0
-0.029689,0.227772,-0.973262,-0.151568,0.150956,-0.976852,-0.093,0.192,0.152,0.082,-0.015,0.17,0.03,1.11,0,0.04,0.6,0.04,0,0,0.97,0,0.27,0,0,0.05,0.01,0
0.082968,0.008684,-0.996514,-0.053468,-0.020813,-0.998353,0.015,-0.006,-0.115,-0.019,0.21,0.73,0,0,0,0,0.89,0.04,0,0,0.12,0.66,0.87,2.12,0.86,0,0.63,0.49
0.090679,0.023599,-0.995601,-0.087586,0.030759,-0.995682,0.002,0.027,-0.064,0.046,-0.017,0,0.06,0.19,0,0,0.27,0,0,0,0,0.09,0.31,0,0,0.21,0.06,0.1
-0.034994,0.223858,-0.973993,-0.131264,0.212215,-0.968367,-0.085,0.221,0.153,0.092,-0.01,0,0.13,0.72,0,0.69,0.83,0,0,0.64,2.35,0,0.29,0.11,0.46,0.55,0.91,0.51
-0.063518,0.232841,-0.970438,-0.198421,0.21973,-0.955169,-0.135,0.231,0.152,0.118,-0.049,0.15,0.02,0.74,0,0,0.12,0,0,0,0.5,0.46,0.71,0.02,0.21,0.01,0.64,0.94
0.048231,0.199644,-0.978681,-0.082972,0.204967,-0.975246,-0.018,0.204,0.166,0.004,0.03,0,0.03,0.01,0.03,0,0,0,0,0,0,0,0.43,0,0,0.27,0.37,0.14
0.010894,-0.093573,-0.995553,-0.166404,-0.121888,-0.978495,-0.079,-0.109,-0.226,0.022,0.004,0.16,0,0,0,0,0,0,0,0,0,0.18,0,0.55,0,0.36,1.11,0.31
0.574906,0.020736,-0.817957,0.453306,-0.045538,-0.890191,0.542,-0.015,-0.198,-0.473,0.154,0,0,0,0,0,0,0,0.26,0,0,0.04,1.04,0,0,0.19,0.27,0.45
0.025899,-0.050363,-0.998395,-0.110082,-0.055585,-0.992367,-0.042,-0.053,-0.084,-0.007,-0.023,0.07,0,0.03,0,0,0,0,0,0,0,0.09,1.53,0,0.35,0.2,1.11,0
0.077886,-0.1961,-0.977486,-0.098675,-0.163153,-0.981654,-0.011,-0.181,-0.382,0.068,-0.003,0.04,0,0.72,0,0.19,2.63,0.75,0.55,0.25,0,0.93,2.71,0.23,1.14,0,0.13,0
-0.342411,-0.017237,-0.939392,-0.499793,-0.009647,-0.866091,-0.436,-0.015,-0.163,0.435,0.119,0,0,0.63,0,0,0.29,0,0,0,0,0,0.75,0,0.1,0.41,0.28,0.03
0.053993,-0.17163,-0.983681,-0.074187,-0.268111,-0.960527,-0.01,-0.222,-0.371,-0.003,0.054,1.77,0.22,0,0.23,0,1.49,0.19,0,0,0,0,0.16,1.12,0.15,0,0,0
0.017002,0.232925,-0.972346,-0.139212,0.195001,-0.970873,-0.063,0.217,0.143,0.095,0.008,0.44,0.05,0.96,0,0,0.62,0.1,0,0,1.64,0,0.16,0,0,0.68,0.21,0.36
0.079921,0.142707,-0.986533,-0.014355,0.18343,-0.982928,0.033,0.164,0.149,0.065,0.011,0,0,0.15,0,0.31,0.39,0,0,0.84,2.31,0,0.36,0,0.74,0.37,0,0
-0.028029,-0.063517,-0.997587,-0.293455,-0.104963,-0.950193,-0.164,-0.086,-0.297,0.229,0.002,0.03,0,0,0,0,1.2,0,0,0,0,0,2.14,0.09,0.65,0,0.4,0.28
0.490662,0.07619,-0.868013,0.332108,-0.028341,-0.942816,0.426,0.026,-0.262,-0.486,0.204,0,0,0,0,0,0,0,0.71,0,0,2.3,1.06,1.35,0,0.05,0,1.42
0.108177,-0.050153,-0.992866,-0.007112,-0.074493,-0.997196,0.051,-0.063,-0.128,-0.096,0.054,0.02,0,0,0,0,0.19,0.01,0,0,0,0.13,0.85,0.1,0,0.08,0.34,0.16
0.08148,0.230474,-0.969661,-0.177995,0.222294,-0.958595,-0.05,0.231,0.099,0.066,0.049,0,0,0.46,0,0,0.43,0,0,0,0,0,0.38,0.09,0.73,0.11,0.78,0.49
0.09321,-0.040219,-0.994834,-0.098114,-0.048752,-0.99398,-0.002,-0.045,-0.121,0.043,-0.011,0,0,0,0.09,0,0.65,0,0,0,0,0,0.81,0.08,0.17,0.27,0.89,0
0.02792,0.255463,-0.966416,-0.079108,0.210724,-0.974339,-0.026,0.236,0.148,0.07,-0.006,0,0,1.08,0,0.32,0.38,0,0,0.48,2.38,0,0.19,0.2,0.01,0,0,0.77
0.094559,-0.22822,-0.969007,-0.080905,-0.306029,-0.948578,0.007,-0.272,-0.487,-0.024,0.184,0.34,0,0,0.05,0,2.27,0.02,0,0,0,0,2.33,0.21,0,0,0,0
0.072199,0.08408,-0.99384,-0.147409,0.07142,-0.986494,-0.038,0.078,-0.042,-0.013,0.013,0,0,0.03,0,0,0.38,0,0,0,0,0,0,0,0.05,0,0.03,0.72
0.041719,0.208987,-0.977028,-0.097028,0.200538,-0.974869,-0.028,0.207,0.173,0.013,0.026,0,0.15,0.19,0,0,0.3,0,0,0,0,0,0.41,0,0,0.23,0.1,0.36
0.025064,-0.100162,-0.994655,-0.111736,-0.100406,-0.988653,-0.044,-0.101,-0.111,-0.001,-0.017,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.17,0,0.5,0
0.083447,0.007625,-0.996483,-0.10037,0.014442,-0.994845,-0.008,0.011,-0.107,0.062,-0.021,0.2,0,0.27,0,0,0.3,0.11,0,0,0,0.06,0.08,0.19,0,0.14,0,1.02
0.105849,-0.089256,-0.990368,-0.052091,-0.133654,-0.989658,0.027,-0.112,-0.155,-0.028,0.05,0.02,0.16,0,0.01,0,1.29,0,0,0,0,0,0.13,0,0.16,0.38,0.23,0.85
0.055192,-0.152606,-0.986745,-0.069985,-0.218506,-0.973323,-0.008,-0.187,-0.345,-0.019,0.066,1.55,0.15,0,0.49,0,1.69,0.17,0,0,0,0,0.02,0.79,0.22,0,0,0
0.056085,0.058419,-0.996715,-0.089231,0.032769,-0.995472,-0.017,0.046,-0.021,0.01,0.215,0,0,0,0,0,0.95,0.36,0,0,0,0.35,0.54,0.14,0,0.76,0.34,0.02
0.054426,0.220072,-0.973964,-0.079017,0.203459,-0.97589,-0.013,0.214,0.178,-0.018,0.03,0,0,0.11,0,0,0.04,0,0,0,0,0,0.35,0,0,0.03,0.31,0.19
0.061041,0.12824,-0.989863,-0.062419,0.132666,-0.989193,-0.001,0.131,0.061,-0.075,0.048,0,0,0.12,0,0,0,0,0,0,0,0.33,0.14,0,0,0.67,0,0
0.091376,0.056252,-0.994226,-0.095093,0.061418,-0.993572,-0.002,0.059,-0.063,0.053,-0.018,0.08,0,0.47,0,0,0.74,0.14,0,0,0,0.12,0.14,0.03,0,0.01,0.14,1
0.566523,0.051911,-0.822409,0.429,-0.141104,-0.892215,0.526,-0.052,-0.209,-0.461,0.208,0,0,0,0,0,0,0,0.66,0,0,0.08,1.04,0.1,0,0,0.1,0.13
0.046981,0.171214,-0.984113,-0.057551,0.115716,-0.991614,-0.005,0.144,0.061,-0.03,0.052,0,0,0,0,0,0.24,0,0,0,0,0.1,0.44,0.01,0,0.61,0.06,0
