"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.069869,0.013997,-0.997458,-0.127862,-0.022288,-0.991542,-0.029,-0.004,-0.091,-0.006,-0.019,0.03,0.22,0,0.06,0,0.63,0.19,0,0,0,0.04,0.77,0,0.07,0.03,1.03,0.06
0.013057,0.054676,-0.998419,-0.140607,0.052742,-0.98866,-0.064,0.054,0.034,0.131,-0.018,0,0,0.51,0,1.05,1.36,0.12,0,0.86,2.19,0.05,1.72,0.29,1.76,0,0.16,0.03
0.098818,-0.025723,-0.994773,-0.015667,-0.056336,-0.998289,0.042,-0.041,-0.108,-0.103,0.057,0,0,0,0,0,0.28,0,0,0,0,0.13,0.75,0,0,0.19,0.73,0
0.071772,0.066461,-0.995204,-0.06808,0.070159,-0.99521,0.002,0.069,0.077,0.001,-0.007,0,0,0.13,0.05,0,0.75,0,0,0.86,1.44,0,0,0.01,0.27,0.09,0.02,0
0.017301,-0.070935,-0.997331,-0.14932,-0.086435,-0.985004,-0.066,-0.079,-0.229,0.024,0.023,0.2,0,0,0,0,0.28,0,0,0,0,0.12,0.04,0.63,0,0.32,1.05,0.49
0.088436,-0.029268,-0.995652,-0.026339,-0.062047,-0.997726,0.031,-0.046,-0.13,-0.08,0.058,0,0.08,0,0,0,0.23,0.02,0,0,0,0.02,0.83,0,0.08,0.17,0.14,0
0.069399,0.067675,-0.995291,-0.070703,0.071361,-0.994942,-0.001,0.07,0.082,0.005,-0.008,0,0.01,0.35,0,0,0.37,0,0,0.73,1.42,0,0.02,0.02,0.22,0.34,0.19,0
0.064118,-0.107568,-0.992128,-0.115965,-0.146184,-0.982437,-0.026,-0.128,-0.142,-0.127,0.044,0,0,0,0.42,0,0,0,0,0,0,0,0.82,0.14,0.49,0,0.98,0
0.058605,0.092695,-0.993968,-0.119827,0.100449,-0.9877,-0.031,0.097,0.038,0.086,-0.043,0.26,0,1.48,0,0,0,0,0,0,0.19,0,0.02,0,0,0.16,0,1.33
0.115618,-0.028606,-0.992882,-0.000579,-0.055382,-0.998465,0.058,-0.042,-0.12,-0.097,0.052,0.01,0,0.02,0,0,0.46,0.01,0,0,0,0.16,0.67,0.03,0.03,0.09,0.16,0
0.050108,0.160975,-0.985686,-0.031284,0.209146,-0.977384,0.01,0.186,0.133,0.069,0.026,0,0,0.2,0,1.18,0.96,0,0,1.48,2.43,0,0.56,0,1.06,0.17,0.05,0
0.02468,-0.039079,-0.998931,-0.171299,-0.088466,-0.981239,-0.074,-0.064,-0.133,-0.049,0.061,0.12,0,0,0,0,0.36,0,0,0,0,0.03,0.16,0.25,0.07,0.12,0.86,0
0.010622,0.178603,-0.983864,-0.070068,0.187235,-0.979813,-0.03,0.184,0.136,0.071,0,0.3,0.03,0.87,0,0,0.07,0,0,0,0.63,0.22,0.76,0,0,0,0.36,0
0.078607,0.170809,-0.982163,-0.003841,0.199183,-0.979955,0.038,0.186,0.134,0.068,0.012,0,0,0.97,0,0.1,0.64,0,0,0,1.71,0,0.46,0,0.14,0.01,0.02,0
0.011823,-0.091429,-0.995741,-0.165336,-0.121129,-0.978771,-0.078,-0.107,-0.226,0.022,0.004,0.18,0,0,0,0,0,0,0,0,0,0.19,0.01,0.51,0,0.35,1.14,0.3
0.03281,-0.017383,-0.99931,-0.180803,-0.064683,-0.98139,-0.075,-0.041,-0.162,0.037,-0.004,0.26,0.06,0.03,0,0,0.19,0.03,0,0,0,0.05,0.07,0.03,0,0.05,0.11,0
-0.059463,0.247879,-0.966964,-0.168848,0.209636,-0.96309,-0.118,0.233,0.146,0.112,-0.009,0.26,0.16,0.83,0,0.06,0.75,0,0,0,1.16,0.31,0.44,0.03,0,0.29,0.66,0.89
