"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r","State"
-0.057875,0.108547,-0.992405,-0.200583,0.177932,-0.963383,-0.131,0.145,0.058,0.294,-0.235,0,0,0.09,0,0,0.21,0.27,0.43,0,0,0,1.28,0,2,0,0.47,0.25,-100
0.017782,0.112466,-0.993496,-0.158394,0.079196,-0.984195,-0.071,0.097,0.012,0.059,0.038,0.14,0.15,0.04,0.51,0,0,0,0,0,0,0,0.01,0,0.64,0.28,0.15,0.07,100
0.16515,-0.045625,-0.985213,-0.059222,-0.071344,-0.995692,0.053,-0.059,-0.126,0.058,-0.01,0,0,0,0.71,0,0.55,0,0,0,0,0,0.64,0.31,0.4,0.25,0.86,0,100
0.365598,0.21022,-0.906722,0.227243,0.08819,-0.969837,0.306,0.158,-0.11,-0.495,0.34,0,0,0,0,0,0,0,1.04,0,0,0.33,1.33,0.62,0,0,0.03,2.35,-100
-0.165162,-0.076452,-0.983299,-0.39154,-0.043753,-0.91912,-0.285,-0.063,-0.256,0.21,0.239,0,0,0,0,0,1.64,0,0.08,0,0,0,1.87,0.3,0,0.25,0.08,1.48,-100
0.023789,0.149945,-0.988408,-0.183826,0.151849,-0.971159,-0.081,0.153,0.081,0.067,0.048,0,0,0,0.12,0,0,0,0,0,0,0,0.05,0,0.82,0.25,0.25,0,100
0.561316,0.084249,-0.823302,0.397828,-0.12566,-0.908814,0.506,-0.024,-0.175,-0.471,0.241,0,0,0,0,0,0,0,0.72,0,0,1.74,1.83,0.82,0,0,0,0.13,-100
0.443608,-0.113312,-0.889029,0.299937,-0.086018,-0.950073,0.384,-0.108,-0.19,-0.437,-0.286,1.42,0,2.15,0.04,0,0.01,0,0,0,0,0,0,0,0,1.43,1.33,0,-100
0.497386,0.267096,-0.825389,0.37626,0.208006,-0.902863,0.468,0.268,0.195,-0.697,0.313,0,0,0.12,0,1.93,2.45,0,2.79,0.43,0,3.4,2.17,0.31,0.41,1.33,0,0.08,-100
0.088024,-0.010568,-0.996062,-0.088833,-0.004862,-0.996035,0,-0.008,-0.103,0.049,-0.019,0,0.16,0,0,0,0,0.01,0,0,0,0.31,0.03,0.14,0,0.17,0.09,0,100
-0.345362,-0.002947,-0.938465,-0.52078,0.003058,-0.853685,-0.45,0,-0.176,0.475,0.13,0,0,0.66,0,0,0,0,0,0,0,0,0.69,0,1.06,0.63,0.89,0,-100
0.331285,-0.029152,-0.94308,0.18142,-0.015221,-0.983288,0.26,-0.023,-0.164,-0.278,-0.185,0.81,0,0.64,0,0,0,0,0,0.08,0,0.14,0,0,0,0.44,1.01,0.37,-100
0.082481,-0.005868,-0.996575,-0.091785,0.000226,-0.995779,-0.005,-0.003,-0.089,0.054,-0.018,0.03,0.01,0.07,0,0,0,0,0,0,0,0.21,0.2,0.01,0,0,0,0,100
0.147495,-0.374319,-0.915495,-0.002331,-0.39611,-0.9182,0.079,-0.398,-0.649,-0.038,0.101,0.52,0.08,0,0,0,2.06,0.73,0,0,0,1.03,3,0,0,0,0.6,0.09,-100
0.119491,-0.040055,-0.992027,-0.03222,-0.04326,-0.998544,0.044,-0.042,-0.138,-0.041,0.025,0.34,0,0,0.02,0,0.07,0.23,0,0,0,0,0.01,0.38,0,0.29,0,0,100
0.044291,-0.030473,-0.998554,-0.127699,-0.069678,-0.989362,-0.042,-0.05,-0.126,-0.069,0.052,0.04,0.02,0,0,0,0.39,0,0,0,0,0.01,0.56,0,0.03,0.05,0,0,100
0.090514,0.023315,-0.995622,-0.087477,0.030568,-0.995697,0.002,0.027,-0.064,0.046,-0.018,0.07,0.14,0.3,0,0,0.32,0.01,0,0,0,0.19,0.29,0,0,0.11,0,0,100
0.078826,-0.031622,-0.996387,-0.014681,-0.064129,-0.997834,0.032,-0.048,-0.126,-0.086,0.058,0,0,0,0,0,0.29,0,0,0,0,0.11,0.59,0,0.02,0.11,0.23,0,100
0.479754,0.075218,-0.874173,0.396916,0.034879,-0.917192,0.455,0.061,-0.254,-0.443,0.159,0.95,0,0,0.17,0.85,0.73,0,0.66,0,0,0,0,0.82,0,4.88,4.16,0.13,-100
0.054328,0.041322,-0.997668,-0.101325,0.028794,-0.994437,-0.024,0.035,-0.034,-0.021,-0.034,0,0,0,0.15,0,0,0,0,0,0,0.15,0.38,0,0.1,0,0.74,0,100
0.143763,-0.056989,-0.98797,-0.018749,-0.10204,-0.994604,0.063,-0.08,-0.128,-0.092,0.084,0.24,0,0,0.41,0,0,0,0,0,0,0.15,0.4,0,0.04,0.2,0.18,0,100
0.502538,-0.163505,-0.848954,0.397543,-0.282449,-0.87303,0.482,-0.253,-0.407,-0.278,0.112,0.11,0,0,0.69,0,0.23,0,0,0,0,0.21,0.88,0.39,0,0.03,1.26,0,-100
0.17224,-0.243588,-0.954462,0.006382,-0.230006,-0.973168,0.092,-0.241,-0.442,-0.102,0.121,0,0,0.08,0,0.64,2.88,0.45,0.41,0.8,0,0.44,2.76,0.58,1.97,0,0.07,0,-100
0.184167,-0.083796,-0.979317,0.005446,-0.116787,-0.993142,0.096,-0.101,-0.151,-0.133,0.056,0,0,0,0.27,0,0,0,0,0,0,0,0.95,0.01,0.43,0,0.94,0,100
0.01627,-0.272257,-0.962087,-0.146858,-0.262055,-0.953813,-0.068,-0.272,-0.451,0.124,-0.036,2.48,0.05,1.6,0.13,0.63,2.07,0,0.57,0,0,1.64,1.13,0,0.01,1.39,0.66,0,-100
0.039534,0.209067,-0.977102,-0.090544,0.20393,-0.974789,-0.026,0.209,0.174,0.013,0.026,0,0.19,0.19,0,0,0.43,0,0,0,0,0,0.51,0,0,0.23,0.12,0.3,100
-0.324007,-0.010512,-0.945996,-0.482664,-0.022904,-0.875506,-0.417,-0.018,-0.176,0.401,0.145,0,0,0.56,0,0,0.31,0,0,0,0,0,1.18,0,0.4,0.66,1.13,0,-100
0.451057,-0.114046,-0.885179,0.291486,-0.099788,-0.951356,0.384,-0.116,-0.243,-0.422,-0.196,0,0,0.42,0.07,0,0,0,0,0,0,0,0,0,0,0.41,0.21,0.8,-100
0.084104,-0.468603,-0.879396,-0.073146,-0.434493,-0.8977,0.006,-0.47,-0.747,0.025,0.007,1.51,0.04,0,0,0.3,1.11,0.05,1.08,0.1,0,0,3.32,0,1.02,0.29,1.82,0,-100
0.206856,-0.056913,-0.976715,0.0205,-0.039167,-0.999022,0.115,-0.049,-0.237,-0.116,0.009,1.31,0,1.65,0,1.06,2.89,0.69,0.23,0.23,0,1.18,0.62,0.81,0,1.1,0.29,0,-100
0.17277,-0.169341,-0.970296,0.014946,-0.219791,-0.975432,0.096,-0.197,-0.39,-0.095,0.289,0.04,0,0,0,0,1.3,0,0,0,0,0.26,1.08,0,0,0,0.25,0,-100
0.101151,-0.011972,-0.994799,-0.046155,-0.039809,-0.998141,0.028,-0.026,-0.095,-0.038,-0.024,0,0,0,0,0,0,0,0,0,0,0.32,0.56,0.07,0.09,0.47,0.9,0.05,100
0.045397,-0.168683,-0.984624,-0.111811,-0.235762,-0.965357,-0.034,-0.205,-0.402,0.033,0.157,0.01,0,0,0.05,0,2.35,0,0,0,0,0,2.08,0.82,0,0.08,0.01,0,-100
0.037593,0.051797,-0.99795,-0.114822,0.082707,-0.989937,-0.039,0.068,0,-0.042,-0.062,0,0.11,0.26,0.14,0,0.11,0,0,0,0,0,0,0,0,0,0,0.21,100
0.025081,-0.051523,-0.998357,-0.18408,-0.064354,-0.980802,-0.08,-0.058,-0.228,0.045,-0.006,0.56,0.19,0.07,0,0,0.3,0.09,0,0,0,0.41,0.1,0,0,0,0,0,100
0.030435,0.144663,-0.989013,-0.177884,0.135712,-0.974648,-0.075,0.142,0.081,0.066,0.051,0,0.01,0.05,0.43,0,0,0,0,0,0,0,0,0,0.87,0.23,0.35,0,100
0.014755,0.108569,-0.993979,-0.113846,0.111018,-0.987276,-0.05,0.11,-0.127,0.045,-0.1,0,0,2.79,0,0.58,1.98,0.55,0.84,0,0,1.56,2.14,0.62,0,1.32,0.76,0,-100
-0.235422,-0.108609,-0.965806,-0.460247,-0.125385,-0.878892,-0.361,-0.126,-0.326,0.424,0.1,0.42,0,0.18,0,0,0.3,0,0.01,0,0,0,2.4,0.07,0.9,0,0.92,0.12,-100
