"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Tx","pose_Ty","pose_Tz","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r"
-0.33152,-0.386407,-0.860688,-0.486902,-0.377605,-0.787618,-0.461,-0.434,134.2,-56.3,919,-0.694,0.52,0.217,0.58,1.95,0.09,0,0,0.79,0.25,0,0,0.25,0.03,0.04,0,0.63,0.92
-0.329799,-0.383056,-0.862845,-0.484448,-0.37495,-0.790394,-0.458,-0.43,134.7,-56.5,920.7,-0.685,0.516,0.217,0.55,1.98,0.07,0,0,0.93,0.33,0,0,0,0.07,0,0,0.37,1.04
-0.324663,-0.38617,-0.863404,-0.481405,-0.379927,-0.789876,-0.454,-0.434,135.8,-56.6,920.4,-0.692,0.511,0.228,0.55,1.92,0.03,0,0,0.8,0.4,0,0,0,0.07,0,0,0.63,1.23
-0.323995,-0.386784,-0.86338,-0.47914,-0.380964,-0.790753,-0.452,-0.435,136.7,-56.6,919,-0.69,0.507,0.233,0.64,1.94,0.03,0,0,0.59,0.43,0,0,0,0.07,0,0,0.82,1.15
-0.324665,-0.389311,-0.861992,-0.479406,-0.386507,-0.787898,-0.453,-0.44,137.1,-56,913.3,-0.698,0.509,0.258,0.7,1.88,0.03,0,0,0.44,0.47,0,0,0.01,0.04,0,0,0.91,1.04
-0.322117,-0.38577,-0.864536,-0.475887,-0.382933,-0.791767,-0.449,-0.435,137.5,-56.1,915,-0.69,0.502,0.26,0.77,1.91,0.03,0,0,0.46,0.42,0,0,0.04,0.13,0,0,0.71,0.92
-0.32,-0.390081,-0.863387,-0.473627,-0.389484,-0.789924,-0.448,-0.441,137.5,-55.6,910.6,-0.696,0.499,0.27,0.77,1.86,0.02,0,0,0.55,0.37,0,0,0.04,0.23,0,0,0.62,1.04
-0.32062,-0.382963,-0.866339,-0.474126,-0.384205,-0.792206,-0.447,-0.433,137.7,-55.5,908.3,-0.69,0.498,0.276,0.79,1.87,0.04,0,0,0.57,0.32,0,0,0.04,0.34,0,0,0.55,1.19
-0.320693,-0.381695,-0.866871,-0.473023,-0.382987,-0.793455,-0.446,-0.432,137.6,-55.3,907,-0.688,0.497,0.276,0.75,1.74,0.04,0,0,0.45,0.35,0,0,0,0.37,0,0,0.58,1.14
-0.318244,-0.383638,-0.866916,-0.471181,-0.384774,-0.793686,-0.444,-0.433,138,-55.2,907,-0.688,0.495,0.277,0.79,1.72,0.03,0,0,0.32,0.3,0,0,0.05,0.36,0,0,0.49,1.04
-0.31852,-0.388847,-0.86449,-0.472318,-0.390036,-0.790435,-0.446,-0.44,138.6,-55.3,908.7,-0.69,0.497,0.278,0.83,1.7,0,0,0,0.32,0.31,0,0,0.14,0.34,0,0,0.44,0.87
-0.318293,-0.389371,-0.864338,-0.471875,-0.390297,-0.790571,-0.445,-0.44,138.6,-55.3,909.1,-0.69,0.497,0.278,0.91,1.74,0,0,0,0.29,0.31,0,0,0.23,0.18,0,0,0.6,0.81
-0.318723,-0.392162,-0.862916,-0.471727,-0.390787,-0.790417,-0.446,-0.442,138.6,-54.7,908.6,-0.693,0.492,0.274,0.92,1.69,0.06,0,0,0.21,0.37,0,0,0.19,0.1,0,0,0.71,0.8
-0.316785,-0.387794,-0.8656,-0.469755,-0.387359,-0.793274,-0.443,-0.437,138.8,-54.4,909.6,-0.689,0.489,0.268,0.98,1.66,0.08,0,0,0.08,0.45,0,0,0.15,0.01,0,0,0.87,0.77
-0.312695,-0.392563,-0.864937,-0.466388,-0.392198,-0.792883,-0.439,-0.442,138.7,-54.1,908.4,-0.692,0.484,0.268,1.04,1.61,0.12,0,0,0.02,0.5,0,0,0.07,0.01,0,0,0.88,0.7
-0.311175,-0.393501,-0.865059,-0.464655,-0.392851,-0.793577,-0.438,-0.443,138.7,-54,908,-0.692,0.482,0.268,1.05,1.64,0.09,0,0,0.07,0.57,0,0,0.06,0,0,0,1.11,0.77
-0.313368,-0.395567,-0.863323,-0.466792,-0.394553,-0.791475,-0.441,-0.445,138.5,-53.7,905.7,-0.695,0.484,0.271,1.08,1.63,0.06,0,0,0.07,0.52,0,0,0.01,0.14,0,0,0.98,0.77
-0.312073,-0.393205,-0.86487,-0.464449,-0.392788,-0.793729,-0.438,-0.443,138.7,-53.5,904.7,-0.691,0.482,0.272,1.12,1.6,0.02,0,0,0.07,0.45,0,0,0,0.3,0,0,0.88,0.8
-0.312045,-0.392191,-0.865341,-0.464455,-0.392096,-0.794067,-0.438,-0.442,138.8,-53.5,905.4,-0.69,0.481,0.273,1.14,1.54,0,0,0,0,0.42,0,0,0,0.34,0,0,0.76,0.81
-0.313286,-0.389609,-0.866058,-0.46612,-0.390382,-0.793936,-0.439,-0.439,139.6,-53.6,906.6,-0.691,0.483,0.274,1.11,1.52,0.02,0,0,0.01,0.4,0,0,0,0.26,0.07,0,0.95,0.9
-0.310429,-0.389837,-0.866984,-0.463364,-0.390502,-0.795488,-0.436,-0.439,140.1,-53.7,907.6,-0.689,0.481,0.276,1.04,1.51,0.02,0,0,0.01,0.4,0,0,0,0.18,0.16,0,1.08,0.96
-0.30999,-0.388329,-0.867817,-0.463217,-0.389314,-0.796156,-0.435,-0.437,140.2,-53.8,908.2,-0.687,0.481,0.275,1.05,1.51,0.09,0,0,0.06,0.27,0,0,0,0.16,0.16,0,1.01,1.06
-0.308185,-0.39019,-0.867625,-0.460803,-0.391503,-0.796484,-0.433,-0.439,140.2,-53.6,905.7,-0.691,0.477,0.272,1.03,1.42,0.08,0,0,0.05,0.2,0,0,0,0.18,0.24,0,1.06,1.19
-0.307724,-0.391414,-0.867238,-0.460406,-0.394249,-0.795358,-0.433,-0.441,140.1,-53.5,904.5,-0.694,0.476,0.276,1.02,1.37,0.09,0,0,0.05,0.16,0,0,0,0.15,0.2,0,1.03,1.26
-0.307469,-0.392516,-0.86683,-0.4598,-0.394757,-0.795457,-0.432,-0.442,140.1,-53.5,904.2,-0.694,0.475,0.277,1.05,1.42,0.03,0,0,0,0.18,0,0,0,0.22,0.24,0,0.96,1.18
-0.308159,-0.390398,-0.867541,-0.461603,-0.392889,-0.795337,-0.434,-0.44,140.4,-53.4,904.3,-0.69,0.477,0.276,1.09,1.53,0.05,0,0,0,0.2,0,0,0,0.33,0.1,0,0.66,0.99
-0.304133,-0.393141,-0.867723,-0.455768,-0.395909,-0.797203,-0.428,-0.443,140.6,-53.4,904.4,-0.691,0.47,0.278,1.17,1.67,0.09,0,0,0,0.21,0,0,0.02,0.42,0.06,0,0.53,0.9
-0.302646,-0.396903,-0.86653,-0.45452,-0.39931,-0.796218,-0.427,-0.447,140.6,-53.3,903.9,-0.698,0.467,0.285,1.19,1.64,0.11,0,0,0,0.23,0,0,0.05,0.47,0.02,0,0.62,0.86
-0.302253,-0.396542,-0.866832,-0.454523,-0.399035,-0.796354,-0.427,-0.446,140.7,-53.3,904.8,-0.698,0.466,0.287,1.18,1.68,0.13,0,0,0.06,0.31,0,0,0.05,0.32,0.02,0,0.86,0.7
-0.303359,-0.394092,-0.867563,-0.455422,-0.396669,-0.797022,-0.428,-0.443,140.9,-53.2,904,-0.693,0.467,0.286,1.16,1.61,0.11,0,0,0.06,0.37,0,0,0.02,0.19,0,0,0.84,0.86
-0.301613,-0.393419,-0.868476,-0.454078,-0.397634,-0.797308,-0.426,-0.443,141,-53.3,903.3,-0.694,0.465,0.286,1.12,1.58,0.13,0,0,0.06,0.34,0,0,0,0.23,0,0,0.65,1.06
-0.302519,-0.393319,-0.868207,-0.455015,-0.397454,-0.796864,-0.427,-0.443,141,-53.3,903.4,-0.694,0.467,0.285,1.18,1.54,0.08,0,0,0.01,0.33,0,0,0.03,0.28,0,0,0.42,1.23
-0.304221,-0.396227,-0.866288,-0.455423,-0.399208,-0.795753,-0.429,-0.446,141.3,-53.3,904.4,-0.698,0.467,0.289,1.13,1.62,0.08,0,0,0.02,0.3,0,0,0.03,0.36,0,0,0.43,1.09
-0.305841,-0.394987,-0.866283,-0.45868,-0.398248,-0.794362,-0.431,-0.446,141.5,-53.3,905.1,-0.699,0.471,0.29,1.12,1.66,0.06,0,0,0.02,0.35,0,0,0.03,0.27,0,0,0.5,0.83
-0.30602,-0.394747,-0.866329,-0.459095,-0.39792,-0.794287,-0.432,-0.445,141.6,-53.4,905.9,-0.698,0.471,0.291,1.05,1.71,0.13,0,0,0.02,0.34,0,0,0,0.17,0,0,0.54,0.72
-0.301621,-0.397985,-0.866391,-0.453601,-0.401936,-0.79542,-0.427,-0.449,141.9,-53.4,907,-0.7,0.464,0.294,1.05,1.69,0.14,0,0,0.01,0.29,0,0,0,0.13,0,0,0.6,0.73
-0.300654,-0.396465,-0.867423,-0.453055,-0.401331,-0.796037,-0.425,-0.447,142,-53.5,907.7,-0.701,0.464,0.295,1.05,1.73,0.11,0,0,0.02,0.3,0,0,0.05,0.04,0,0,0.77,0.74
-0.301507,-0.3954,-0.867613,-0.453241,-0.39963,-0.796786,-0.426,-0.446,141.8,-53.3,905.4,-0.697,0.464,0.291,1.05,1.8,0.05,0,0,0.03,0.32,0,0,0.06,0.04,0,0,0.89,0.82
-0.302075,-0.395169,-0.867521,-0.453183,-0.399092,-0.797089,-0.426,-0.445,141.6,-53.2,904.2,-0.697,0.464,0.289,1.05,1.83,0.03,0,0,0.08,0.44,0,0,0.12,0.11,0,0,0.84,0.83
-0.303807,-0.39588,-0.866591,-0.455214,-0.400031,-0.795459,-0.428,-0.447,141.7,-53.3,905.5,-0.701,0.466,0.291,1.1,1.81,0.06,0,0,0.1,0.41,0,0,0.07,0.18,0,0,0.7,0.97
-0.301632,-0.402786,-0.864165,-0.452667,-0.406843,-0.793456,-0.427,-0.454,141.5,-53.2,904.9,-0.707,0.463,0.294,1.13,1.76,0.06,0,0,0.1,0.37,0,0,0.06,0.19,0,0,0.65,1.07
-0.300633,-0.403817,-0.864032,-0.451645,-0.407469,-0.793716,-0.426,-0.455,141.6,-53.2,905.4,-0.707,0.462,0.295,1.18,1.85,0.06,0,0,0.14,0.28,0,0,0,0.11,0,0,0.77,1.09
-0.301449,-0.401979,-0.864605,-0.453568,-0.405589,-0.793583,-0.427,-0.453,141.9,-53.4,907.3,-0.705,0.463,0.294,1.18,1.83,0.05,0,0,0.15,0.28,0,0,0,0.2,0,0,0.63,0.94
-0.303517,-0.400898,-0.864383,-0.453912,-0.404797,-0.79379,-0.428,-0.452,141.1,-53,902.3,-0.703,0.464,0.294,1.21,1.8,0.08,0,0,0.13,0.29,0,0,0,0.45,0,0,0.41,0.93
-0.303504,-0.401997,-0.863877,-0.453143,-0.405482,-0.793881,-0.428,-0.453,140.9,-52.8,901,-0.703,0.464,0.294,1.23,1.73,0.05,0,0,0.03,0.24,0,0,0,0.67,0,0,0.24,0.8
-0.301523,-0.400372,-0.865324,-0.451738,-0.403523,-0.795677,-0.426,-0.451,141,-52.8,902,-0.698,0.462,0.293,1.25,1.72,0.04,0,0,0.04,0.26,0,0,0,0.59,0,0,0.41,0.77
-0.300675,-0.394689,-0.868225,-0.452651,-0.397949,-0.797962,-0.425,-0.444,141.3,-53.2,905.3,-0.694,0.462,0.288,1.18,1.66,0.01,0,0,0.04,0.27,0,0,0,0.35,0.01,0,0.64,0.68
-0.301869,-0.401011,-0.864908,-0.455644,-0.403666,-0.793374,-0.428,-0.452,140.9,-53,904.1,-0.701,0.465,0.29,1.1,1.53,0,0,0,0.04,0.32,0,0,0.05,0.1,0.01,0,0.74,0.75
