Frame,EAR,State
,0.279276474,Open
,0.254934354,Open
,0.261777676,Open
,0.2504221,Open
,0.271284801,Open
,0.283308477,Open
,0.266488065,Open
,0.257552435,Open
,0.270778103,Open
,0.258723817,Open
,0.261089725,Open
,0.257994381,Open
,0.283698682,Open
,0.283080823,Open
,0.281869044,Open
,0.265851419,Open
,0.286429364,Open
,0.261766809,Open
,0.297123552,Open
,0.27498043,Open
,0.317988346,Open
,0.325067855,Open
,0.337785439,Open
,0.346081864,Open
,0.314148506,Open
,0.143933707,Blink
,0.049661923,Blink
,0.047048034,Blink
,0.040804487,Open
,0.151685043,Open
,0.210437845,Open
,0.250841926,Open
,0.29116102,Open
,0.278764936,Open
,0.287079812,Open
,0.282875992,Open
,0.286658751,Open
,0.294568489,Open
,0.290968437,Open
,0.290911292,Open
,0.301890962,Open
,0.315050658,Open
,0.298789805,Open
,0.299640878,Open
,0.302910802,Open
,0.282472043,Open
,0.297430795,Open
,0.305811394,Open
,0.311598684,Open
,0.306230209,Open
,0.289440612,Open
,0.31524956,Open
,0.306562933,Open
,0.305746984,Open
,0.322587709,Open
,0.307412348,Open
,0.301662447,Open
,0.30229235,Open
,0.296960832,Open
,0.293886137,Open
,0.306278899,Open
,0.289152869,Open
,0.293666106,Open
,0.290003983,Open
,0.289976269,Open
,0.293896781,Open
,0.298925853,Open
,0.302128444,Open
,0.293623147,Open
,0.298925853,Open
,0.302779591,Open
,0.294286782,Open
,0.307893752,Open
,0.299232822,Open
,0.286507179,Open
,0.278752157,Open
,0.278319672,Open
,0.278319672,Open
,0.293450897,Open
,0.281806285,Open
,0.29406039,Open
,0.293929144,Open
,0.294047148,Open
,0.285780037,Open
,0.281806285,Open
,0.273977017,Open
,0.261947919,Open
,0.273745961,Open
,0.273053944,Open
,0.271138256,Open
,0.289756239,Open
,0.286807627,Open
,0.274361512,Open
,0.278096922,Open
,0.278371249,Open
,0.273745961,Open
,0.273814611,Open
,0.266225721,Open
,0.286143519,Open
,0.259086607,Open
,0.258584789,Open
,0.27851813,Open
,0.275333001,Open
,0.287721266,Open
,0.262459542,Open
,0.262407501,Open
,0.258724714,Open
,0.277276847,Open
,0.269950503,Open
,0.274169054,Open
,0.27423809,Open
,0.255232306,Open
,0.113379326,Blink
,0.051634782,Blink
,0.052902,Blink
,0.052282734,Open
,0.052835043,Open
,0.045960233,Open
,0.015144563,Open
,0.033363843,Open
,0.037297846,Open
,0.05313201,Open
,0.16081316,Open
,0.209280842,Open
,0.227946997,Open
,0.235292336,Open
,0.238399621,Open
,0.234740731,Open
,0.238286828,Open
,0.238897389,Open
,0.235802696,Open
,0.242651513,Open
,0.242124248,Open
,0.247585762,Open
,0.239286873,Open
,0.246809434,Open
,0.269048767,Open
,0.25819833,Open
,0.26617368,Open
,0.278233697,Open
,0.266752032,Open
,0.262938434,Open
,0.265986055,Open
,0.266299332,Open
,0.292260666,Open
,0.286727209,Open
,0.286702701,Open
,0.294600032,Open
,0.293506602,Open
,0.287079812,Open
,0.292922735,Open
,0.28572499,Open
,0.292102024,Open
,0.278415721,Open
,0.30129228,Open
,0.286692657,Open
,0.27787613,Open
,0.292746839,Open
,0.301403967,Open
,0.297205028,Open
,0.297205028,Open
,0.285845541,Open
,0.292468124,Open
,0.28624693,Open
,0.289423184,Open
,0.303240831,Open
,0.301743099,Open
,0.287979163,Open
,0.277601585,Open
,0.287121517,Open
,0.277836943,Open
,0.28793033,Open
,0.29239738,Open
,0.309428283,Open
,0.297297811,Open
,0.287121517,Open
,0.291366894,Open
,0.286702701,Open
,0.287121517,Open
,0.287540333,Open
,0.278681467,Open
,0.298737244,Open
,0.285642209,Open
,0.285642209,Open
,0.278868912,Open
,0.265754288,Open
,0.257964777,Open
,0.261260908,Open
,0.262264543,Open
,0.275323992,Open
,0.250679115,Open
,0.246605647,Open
,0.246561382,Open
,0.258683824,Open
,0.250648947,Open
,0.253667798,Open
,0.246866208,Open
,0.238958639,Open
,0.254156014,Open
,0.258182006,Open
,0.258113356,Open
,0.186720143,Blink
,0.025456912,Blink
,0.052339571,Blink
,0.014680505,Open
,0.051218354,Open
,0.14468433,Open
,0.174784811,Open
,0.18416417,Open
,0.197150735,Open
,0.212316176,Open
,0.20767017,Open
,0.242647059,Open
,0.223719901,Open
,0.239116879,Open
,0.242179863,Open
,0.23888601,Open
,0.238551911,Open
,0.243021367,Open
,0.250121683,Open
,0.242076291,Open
,0.246612235,Open
,0.231214185,Open
,0.223149669,Open
,0.2317718,Open
,0.238551911,Open
,0.238551911,Open
,0.232545582,Open
,0.22791059,Open
,0.239009689,Open
,0.238828594,Open
,0.238551911,Open
,0.246612235,Open
,0.231151296,Open
,0.246561382,Open
,0.242596206,Open
,0.243271354,Open
,0.239224724,Open
,0.231855568,Open
,0.238551911,Open
,0.239053729,Open
,0.242535216,Open
,0.087055502,Blink
,0.067648057,Blink
,0.044513318,Blink
,0.014516726,Open
,0.045502511,Open
,0.04635553,Open
,0.040146429,Open
,0.045918961,Open
,0.039273513,Open
,0.047149693,Open
,0.021207758,Open
,0.103504394,Open
,0.207432168,Open
,0.221207165,Open
,0.232351476,Open
,0.243575007,Open
,0.261712874,Open
,0.265541129,Open
,0.278564081,Open
,0.298793718,Open
,0.285710823,Open
,0.293464296,Open
,0.29458144,Open
,0.277833521,Open
,0.290913798,Open
,0.29068468,Open
,0.29353291,Open
,0.290538247,Open
,0.281223762,Open
,0.22250979,Open
,0.053211756,Blink
,0.032264245,Blink
,0.03899446,Blink
,0.04714109,Open
,0.084722222,Open
,0.181261203,Open
,0.238636364,Open
,0.27479913,Open
,0.259505303,Open
,0.304390125,Open
,0.270249991,Open
,0.293929144,Open
,0.302580773,Open
,0.319118904,Open
,0.297397079,Open
,0.302095333,Open
,0.296129329,Open
,0.306011526,Open
,0.294136636,Open
,0.309251662,Open
,0.333649095,Open
,0.284493564,Open
,0.307603814,Open
,0.304553408,Open
,0.304791644,Open
,0.291124377,Open
,0.301649605,Open
,0.319889274,Open
,0.318331988,Open
,0.298069191,Open
,0.304553408,Open
,0.292679744,Open
,0.327987417,Open
,0.336035202,Open
,0.338560646,Open
,0.33117168,Open
,0.33643659,Open
,0.336071535,Open
,0.323651597,Open
,0.313002581,Open
,0.34119884,Open
,0.333568423,Open
,0.325139603,Open
,0.320977305,Open
,0.330763361,Open
,0.328068089,Open
,0.32802375,Open
,0.218022192,Open
,0.040735263,Blink
,0.031923676,Blink
,0.020503104,Blink
,0.0128163,Open
,0.080446286,Open
,0.165818405,Open
,0.207590632,Open
,0.251831634,Open
,0.266493318,Open
,0.262284373,Open
,0.287121517,Open
,0.262284373,Open
,0.274577466,Open
,0.282420466,Open
,0.274006673,Open
,0.27812073,Open
,0.293810193,Open
,0.29919703,Open
,0.289476139,Open
,0.302313277,Open
,0.309628148,Open
,0.317700835,Open
,0.306011526,Open
,0.306932567,Open
,0.289674665,Open
,0.319586473,Open
,0.302095333,Open
,0.319655765,Open
,0.322395035,Open
,0.301877088,Open
,0.309326563,Open
,0.313830835,Open
,0.318853308,Open
,0.302095333,Open
,0.318891973,Open
,0.315893585,Open
,0.322882948,Open
,0.302802078,Open
,0.317679199,Open
,0.308555183,Open
,0.289752175,Open
,0.317550222,Open
,0.304781977,Open
,0.304781977,Open
,0.309489899,Open
,0.286300674,Open
,0.29712675,Open
,0.305132169,Open
,0.289579925,Open
,0.277302662,Open
,0.309489899,Open
,0.294360998,Open
,0.309869651,Open
,0.282844928,Open
,0.301903456,Open
,0.281655675,Open
,0.306095298,Open
,0.312678362,Open
,0.304951967,Open
,0.308730368,Open
,0.30403697,Open
,0.301331247,Open
,0.28535897,Open
,0.290652991,Open
,0.298340971,Open
,0.287135027,Open
,0.294667022,Open
,0.277845468,Open
,0.289021107,Open
,0.287009699,Open
,0.286022925,Open
,0.257904315,Open
,0.277754741,Open
,0.253433407,Open
,0.250189695,Open
,0.258117367,Open
,0.270551341,Open
,0.258168584,Open
,0.258086287,Open
,0.273498887,Open
,0.27664773,Open
,0.284925417,Open
,0.255285931,Open
,0.274543453,Open
,0.251085501,Open
